Evaluation Metrics for documentsBart:

Per-Query Metrics:
Query ID | MAP@10  | Recall@10 | NDCG@10
---------------------------------------------
       1 | 1.0000 | 1.0000  | 1.0000
       2 | 1.0000 | 1.0000  | 1.0000
       3 | 1.0000 | 1.0000  | 1.0000
       4 | 0.3869 | 0.7500  | 0.5111
       5 | 1.0000 | 1.0000  | 0.8393
       6 | 0.0000 | 0.0000  | 0.0000
       7 | 0.8095 | 0.7500  | 0.9065
       8 | 0.8056 | 0.7500  | 0.8272
       9 | 0.9167 | 1.0000  | 0.9790
      10 | 1.0000 | 1.0000  | 1.0000
      11 | 1.0000 | 1.0000  | 1.0000
      12 | 0.3333 | 0.5000  | 0.2880
      13 | 0.0000 | 0.0000  | 0.0000
      14 | 0.9444 | 1.0000  | 0.9354
      15 | 0.6792 | 1.0000  | 0.7177
      16 | 1.0000 | 0.9091  | 0.9951
      17 | 1.0000 | 1.0000  | 1.0000
      18 | 0.5000 | 1.0000  | 0.6309
      19 | 0.4778 | 1.0000  | 0.6183
      20 | 0.5000 | 0.3333  | 0.3259
      21 | 0.9484 | 1.0000  | 0.8849
      22 | 0.9526 | 1.0000  | 0.8952
      23 | 0.7968 | 1.0000  | 0.8396
      24 | 0.9484 | 1.0000  | 0.9072
      25 | 0.0000 | 0.0000  | 0.0000
      26 | 0.9484 | 1.0000  | 0.9735
      27 | 0.7783 | 0.8333  | 0.8234
      28 | 1.0000 | 1.0000  | 0.9745
      29 | 0.6458 | 1.0000  | 0.6997
      30 | 0.8611 | 0.8000  | 0.7749
      31 | 1.0000 | 1.0000  | 0.9651
      32 | 1.0000 | 1.0000  | 0.9701
      33 | 1.0000 | 0.6667  | 0.8723
      34 | 0.7000 | 1.0000  | 0.9456
      35 | 1.0000 | 1.0000  | 1.0000
      36 | 0.0000 | 0.0000  | 0.0000
      37 | 1.0000 | 1.0000  | 1.0000
      38 | 1.0000 | 0.7500  | 0.8628
      39 | 0.5193 | 1.0000  | 0.6814
      40 | 1.0000 | 0.3333  | 0.7284
      41 | 0.9325 | 0.7778  | 0.7992
      42 | 0.6311 | 0.6250  | 0.5193
      43 | 0.8339 | 0.8889  | 0.8393
      44 | 0.3778 | 0.4286  | 0.3631
      45 | 0.9068 | 1.0000  | 0.9483
      46 | 0.5845 | 0.8000  | 0.6308
      47 | 0.7393 | 1.0000  | 0.7777
      48 | 0.8542 | 0.6667  | 0.7819
      49 | 0.6787 | 1.0000  | 0.8647
      50 | 0.6787 | 1.0000  | 0.8090

Overall Averages:
Average MAP@10:     0.7534
Average Recall@10:  0.8113
Average NDCG@10:    0.7541
