Evaluation Metrics for documentsLongformer:

Per-Query Metrics:
Query ID | MAP@10  | Recall@10 | NDCG@10
---------------------------------------------
       1 | 1.0000 | 1.0000  | 0.9542
       2 | 1.0000 | 1.0000  | 1.0000
       3 | 0.8095 | 1.0000  | 0.9421
       4 | 1.0000 | 1.0000  | 1.0000
       5 | 1.0000 | 1.0000  | 1.0000
       6 | 0.0000 | 0.0000  | 0.0000
       7 | 0.7500 | 1.0000  | 0.9573
       8 | 0.0000 | 0.0000  | 0.0000
       9 | 0.8333 | 1.0000  | 0.9043
      10 | 1.0000 | 1.0000  | 1.0000
      11 | 0.0000 | 0.0000  | 0.0000
      12 | 0.0000 | 0.0000  | 0.0000
      13 | 0.0000 | 0.0000  | 0.0000
      14 | 0.9167 | 1.0000  | 0.9744
      15 | 1.0000 | 1.0000  | 0.9533
      16 | 0.6428 | 0.8000  | 0.6296
      17 | 1.0000 | 0.8000  | 0.8980
      18 | 1.0000 | 0.3333  | 0.4361
      19 | 0.0000 | 0.0000  | 0.0000
      20 | 0.0000 | 0.0000  | 0.0000
      21 | 0.9821 | 1.0000  | 0.9352
      22 | 0.9861 | 1.0000  | 0.8655
      23 | 0.8413 | 0.8571  | 0.7831
      24 | 0.9821 | 1.0000  | 0.9640
      25 | 0.0000 | 0.0000  | 0.0000
      26 | 1.0000 | 0.8571  | 0.8436
      27 | 0.7433 | 0.8333  | 0.6603
      28 | 0.7100 | 1.0000  | 0.7351
      29 | 0.8000 | 1.0000  | 0.7394
      30 | 0.6667 | 0.6667  | 0.6343
      31 | 0.5000 | 1.0000  | 0.6309
      32 | 0.3667 | 1.0000  | 0.5387
      33 | 0.8333 | 0.6667  | 0.7506
      34 | 1.0000 | 1.0000  | 1.0000
      35 | 1.0000 | 1.0000  | 0.9975
      36 | 0.0000 | 0.0000  | 0.0000
      37 | 0.0000 | 0.0000  | 0.0000
      38 | 1.0000 | 1.0000  | 1.0000
      39 | 1.0000 | 1.0000  | 1.0000
      40 | 1.0000 | 1.0000  | 1.0000
      41 | 0.7311 | 0.7143  | 0.6975
      42 | 0.3458 | 0.4444  | 0.3322
      43 | 0.7885 | 0.7500  | 0.7780
      44 | 0.2815 | 0.5714  | 0.3185
      45 | 0.9571 | 1.0000  | 0.9752
      46 | 0.5000 | 0.5000  | 0.3399
      47 | 0.0000 | 0.0000  | 0.0000
      48 | 0.0000 | 0.0000  | 0.0000
      49 | 0.0000 | 0.0000  | 0.0000
      50 | 0.2000 | 1.0000  | 0.3869

Overall Averages:
Average MAP@10:     0.6034
Average Recall@10:  0.6559
Average NDCG@10:    0.5911
