Evaluation Metrics for documentsOriginal:

Per-Query Metrics:
Query ID | MAP@10  | Recall@10 | NDCG@10
---------------------------------------------
       1 | 0.8917 | 1.0000  | 0.9557
       2 | 1.0000 | 1.0000  | 1.0000
       3 | 0.8095 | 1.0000  | 0.9612
       4 | 0.9000 | 0.8333  | 0.8870
       5 | 0.8333 | 1.0000  | 0.6806
       6 | 0.8929 | 1.0000  | 0.8843
       7 | 1.0000 | 0.3333  | 0.6671
       8 | 0.8330 | 0.8750  | 0.8889
       9 | 1.0000 | 0.5000  | 0.7804
      10 | 0.8333 | 0.7500  | 0.9197
      11 | 0.0000 | 0.0000  | 0.0000
      12 | 0.1250 | 0.1000  | 0.0929
      13 | 0.2917 | 0.3333  | 0.2505
      14 | 0.8333 | 0.7778  | 0.7003
      15 | 1.0000 | 1.0000  | 0.9375
      16 | 0.9765 | 0.7500  | 0.8311
      17 | 1.0000 | 1.0000  | 1.0000
      18 | 0.9333 | 0.6000  | 0.6855
      19 | 0.6220 | 1.0000  | 0.7391
      20 | 0.0000 | 0.0000  | 0.0000
      21 | 0.9750 | 1.0000  | 0.9943
      22 | 0.9472 | 1.0000  | 0.8853
      23 | 0.8803 | 0.8889  | 0.6771
      24 | 0.7885 | 1.0000  | 0.8612
      25 | 0.0000 | 0.0000  | 0.0000
      26 | 0.7968 | 1.0000  | 0.8338
      27 | 1.0000 | 0.6250  | 0.7064
      28 | 0.9267 | 1.0000  | 0.9799
      29 | 0.8875 | 0.5714  | 0.6675
      30 | 1.0000 | 0.8000  | 0.8377
      31 | 1.0000 | 1.0000  | 0.9951
      32 | 1.0000 | 1.0000  | 0.9844
      33 | 0.8333 | 1.0000  | 0.9596
      34 | 1.0000 | 1.0000  | 1.0000
      35 | 0.8333 | 1.0000  | 0.9804
      36 | 0.0000 | 0.0000  | 0.0000
      37 | 0.5250 | 0.6667  | 0.4359
      38 | 0.8100 | 0.7143  | 0.7116
      39 | 0.4860 | 0.7143  | 0.4621
      40 | 1.0000 | 0.2500  | 0.6065
      41 | 0.7333 | 0.5000  | 0.6121
      42 | 0.6783 | 0.6250  | 0.5387
      43 | 0.6042 | 0.5000  | 0.4934
      44 | 0.2574 | 0.4286  | 0.2801
      45 | 1.0000 | 0.8571  | 0.9339
      46 | 0.7611 | 1.0000  | 0.8999
      47 | 0.5152 | 0.6667  | 0.4847
      48 | 0.6683 | 1.0000  | 0.7288
      49 | 0.5139 | 0.6000  | 0.5046
      50 | 0.3778 | 0.6000  | 0.3984

Overall Averages:
Average MAP@10:     0.7315
Average Recall@10:  0.7172
Average NDCG@10:    0.6863
