Evaluation Metrics for documentsT5:

Per-Query Metrics:
Query ID | MAP@10  | Recall@10 | NDCG@10
---------------------------------------------
       1 | 1.0000 | 1.0000  | 1.0000
       2 | 0.8095 | 1.0000  | 0.9391
       3 | 1.0000 | 1.0000  | 1.0000
       4 | 1.0000 | 0.4000  | 0.5524
       5 | 0.7500 | 1.0000  | 0.8991
       6 | 0.0000 | 0.0000  | 0.0000
       7 | 0.9167 | 1.0000  | 0.9895
       8 | 0.7679 | 1.0000  | 0.9407
       9 | 0.8667 | 1.0000  | 0.9643
      10 | 0.4778 | 1.0000  | 0.5773
      11 | 0.3333 | 1.0000  | 0.5000
      12 | 0.5000 | 0.6667  | 0.4734
      13 | 1.0000 | 1.0000  | 1.0000
      14 | 1.0000 | 0.8000  | 0.9071
      15 | 0.9151 | 1.0000  | 0.9492
      16 | 1.0000 | 0.9091  | 0.9601
      17 | 1.0000 | 1.0000  | 1.0000
      18 | 0.2500 | 1.0000  | 0.4307
      19 | 0.0000 | 0.0000  | 0.0000
      20 | 0.0000 | 0.0000  | 0.0000
      21 | 1.0000 | 1.0000  | 0.9834
      22 | 0.9750 | 1.0000  | 0.8877
      23 | 0.9429 | 0.8333  | 0.8869
      24 | 0.4444 | 1.0000  | 0.5877
      25 | 0.0000 | 0.0000  | 0.0000
      26 | 1.0000 | 1.0000  | 0.9851
      27 | 0.8386 | 1.0000  | 0.9055
      28 | 1.0000 | 1.0000  | 0.9941
      29 | 0.7393 | 0.7143  | 0.6779
      30 | 0.9207 | 1.0000  | 0.9632
      31 | 0.8667 | 1.0000  | 0.9466
      32 | 1.0000 | 1.0000  | 0.9894
      33 | 0.5667 | 1.0000  | 0.6947
      34 | 0.9167 | 1.0000  | 0.9860
      35 | 0.8095 | 1.0000  | 0.9613
      36 | 0.0000 | 0.0000  | 0.0000
      37 | 0.0000 | 0.0000  | 0.0000
      38 | 1.0000 | 1.0000  | 1.0000
      39 | 0.5000 | 1.0000  | 0.6309
      40 | 1.0000 | 1.0000  | 1.0000
      41 | 0.7708 | 0.5714  | 0.6782
      42 | 0.4028 | 0.3333  | 0.2058
      43 | 0.5639 | 0.7143  | 0.6451
      44 | 0.4299 | 0.5714  | 0.4266
      45 | 0.9683 | 1.0000  | 0.9928
      46 | 0.8929 | 1.0000  | 0.8954
      47 | 0.5139 | 0.6000  | 0.4946
      48 | 0.6778 | 1.0000  | 0.8726
      49 | 0.5750 | 0.8000  | 0.6828
      50 | 0.7095 | 0.8000  | 0.8052

Overall Averages:
Average MAP@10:     0.6922
Average Recall@10:  0.7943
Average NDCG@10:    0.7173
