Evaluation Metrics for documentsBart:

Per-Query Metrics:
Query ID | MAP@10  | Recall@10 | NDCG@10
---------------------------------------------
       1 | 1.0000 | 1.0000  | 1.0000
       2 | 1.0000 | 1.0000  | 1.0000
       3 | 1.0000 | 1.0000  | 1.0000
       4 | 1.0000 | 0.2500  | 0.4392
       5 | 1.0000 | 1.0000  | 0.8393
       6 | 0.0000 | 0.0000  | 0.0000
       7 | 0.9167 | 0.7500  | 0.9255
       8 | 0.8500 | 1.0000  | 0.9644
       9 | 1.0000 | 1.0000  | 1.0000
      10 | 1.0000 | 1.0000  | 1.0000
      11 | 1.0000 | 1.0000  | 1.0000
      12 | 0.3333 | 0.5000  | 0.2880
      13 | 0.0000 | 0.0000  | 0.0000
      14 | 0.9583 | 1.0000  | 0.9384
      15 | 0.4155 | 1.0000  | 0.5807
      16 | 0.8339 | 0.7273  | 0.8460
      17 | 1.0000 | 1.0000  | 1.0000
      18 | 0.2000 | 1.0000  | 0.3869
      19 | 0.0000 | 0.0000  | 0.0000
      20 | 0.3333 | 0.3333  | 0.2583
      21 | 0.6829 | 1.0000  | 0.7566
      22 | 0.8976 | 0.8750  | 0.8340
      23 | 0.6422 | 0.7143  | 0.6202
      24 | 0.7278 | 0.8333  | 0.8253
      25 | 0.0000 | 0.0000  | 0.0000
      26 | 0.8767 | 0.8333  | 0.8514
      27 | 0.8850 | 0.8333  | 0.8543
      28 | 0.8929 | 1.0000  | 0.9332
      29 | 0.6862 | 0.8333  | 0.6464
      30 | 0.8750 | 0.8000  | 0.8229
      31 | 1.0000 | 1.0000  | 0.9651
      32 | 0.4778 | 1.0000  | 0.5957
      33 | 1.0000 | 0.6667  | 0.8723
      34 | 1.0000 | 1.0000  | 1.0000
      35 | 1.0000 | 1.0000  | 0.9878
      36 | 0.0000 | 0.0000  | 0.0000
      37 | 0.8593 | 1.0000  | 0.9567
      38 | 1.0000 | 0.7500  | 0.8628
      39 | 0.7100 | 1.0000  | 0.7775
      40 | 0.5167 | 0.6667  | 0.7709
      41 | 0.9750 | 0.8889  | 0.8989
      42 | 0.5546 | 0.6250  | 0.5053
      43 | 0.8073 | 0.8889  | 0.8790
      44 | 0.3929 | 0.2857  | 0.2788
      45 | 0.9750 | 1.0000  | 0.9858
      46 | 0.7333 | 0.8000  | 0.8051
      47 | 0.7089 | 0.7143  | 0.6565
      48 | 0.8111 | 0.8333  | 0.8660
      49 | 0.8750 | 0.6667  | 0.7687
      50 | 0.8529 | 1.0000  | 0.8917

Overall Averages:
Average MAP@10:     0.7251
Average Recall@10:  0.7614
Average NDCG@10:    0.7187
