Evaluation Metrics for documentsLongformer:

Per-Query Metrics:
Query ID | MAP@10  | Recall@10 | NDCG@10
---------------------------------------------
       1 | 1.0000 | 1.0000  | 1.0000
       2 | 1.0000 | 1.0000  | 1.0000
       3 | 1.0000 | 1.0000  | 0.9145
       4 | 0.6389 | 1.0000  | 0.7148
       5 | 1.0000 | 1.0000  | 1.0000
       6 | 0.0000 | 0.0000  | 0.0000
       7 | 0.7500 | 1.0000  | 0.9573
       8 | 0.0000 | 0.0000  | 0.0000
       9 | 1.0000 | 1.0000  | 0.9401
      10 | 1.0000 | 1.0000  | 1.0000
      11 | 0.0000 | 0.0000  | 0.0000
      12 | 0.0000 | 0.0000  | 0.0000
      13 | 0.0000 | 0.0000  | 0.0000
      14 | 0.8542 | 1.0000  | 0.9505
      15 | 0.4778 | 1.0000  | 0.5923
      16 | 0.7639 | 0.7000  | 0.8085
      17 | 0.9500 | 0.8000  | 0.8842
      18 | 0.5000 | 0.3333  | 0.2752
      19 | 0.0000 | 0.0000  | 0.0000
      20 | 0.0000 | 0.0000  | 0.0000
      21 | 0.5022 | 0.8571  | 0.5637
      22 | 0.9214 | 0.8750  | 0.8925
      23 | 0.8667 | 0.4286  | 0.4158
      24 | 0.4934 | 0.8571  | 0.5784
      25 | 0.0000 | 0.0000  | 0.0000
      26 | 0.8593 | 0.8571  | 0.8210
      27 | 0.8107 | 1.0000  | 0.8991
      28 | 0.9267 | 1.0000  | 0.8826
      29 | 0.7750 | 1.0000  | 0.8473
      30 | 0.7042 | 0.6667  | 0.6421
      31 | 0.5000 | 1.0000  | 0.6309
      32 | 0.5000 | 1.0000  | 0.6486
      33 | 0.6667 | 0.6667  | 0.6920
      34 | 1.0000 | 1.0000  | 1.0000
      35 | 0.9167 | 1.0000  | 0.9867
      36 | 0.0000 | 0.0000  | 0.0000
      37 | 0.0000 | 0.0000  | 0.0000
      38 | 1.0000 | 1.0000  | 1.0000
      39 | 0.5000 | 1.0000  | 0.6309
      40 | 1.0000 | 1.0000  | 1.0000
      41 | 0.7962 | 0.7143  | 0.7163
      42 | 0.4571 | 0.4444  | 0.4011
      43 | 0.7296 | 0.8750  | 0.7380
      44 | 0.1000 | 0.1429  | 0.0854
      45 | 1.0000 | 1.0000  | 0.9878
      46 | 0.5000 | 0.5000  | 0.3399
      47 | 0.0000 | 0.0000  | 0.0000
      48 | 0.0000 | 0.0000  | 0.0000
      49 | 0.0000 | 0.0000  | 0.0000
      50 | 0.3333 | 1.0000  | 0.5000

Overall Averages:
Average MAP@10:     0.5559
Average Recall@10:  0.6344
Average NDCG@10:    0.5588
