Evaluation Metrics for documentsOriginal:

Per-Query Metrics:
Query ID | MAP@10  | Recall@10 | NDCG@10
---------------------------------------------
       1 | 0.8274 | 1.0000  | 0.9400
       2 | 1.0000 | 1.0000  | 1.0000
       3 | 0.6806 | 1.0000  | 0.8841
       4 | 0.8100 | 0.8333  | 0.8481
       5 | 1.0000 | 1.0000  | 1.0000
       6 | 0.8750 | 1.0000  | 0.8760
       7 | 1.0000 | 0.5000  | 0.8053
       8 | 0.9472 | 1.0000  | 0.9676
       9 | 0.7071 | 1.0000  | 0.8979
      10 | 0.6937 | 1.0000  | 0.9541
      11 | 0.0000 | 0.0000  | 0.0000
      12 | 0.1250 | 0.1000  | 0.0929
      13 | 0.2667 | 0.3333  | 0.2333
      14 | 0.8736 | 0.7778  | 0.7619
      15 | 0.7639 | 0.8750  | 0.8193
      16 | 0.9627 | 0.7500  | 0.8925
      17 | 1.0000 | 1.0000  | 1.0000
      18 | 0.4167 | 0.2000  | 0.2157
      19 | 0.3833 | 0.7500  | 0.4673
      20 | 0.0000 | 0.0000  | 0.0000
      21 | 0.9750 | 1.0000  | 0.9943
      22 | 0.9367 | 0.8750  | 0.8404
      23 | 0.7486 | 0.6667  | 0.5592
      24 | 0.9583 | 1.0000  | 0.9673
      25 | 0.0000 | 0.0000  | 0.0000
      26 | 0.8802 | 1.0000  | 0.9429
      27 | 1.0000 | 0.8750  | 0.9037
      28 | 1.0000 | 1.0000  | 0.9827
      29 | 0.7802 | 0.8571  | 0.7367
      30 | 0.9765 | 0.9000  | 0.9324
      31 | 1.0000 | 1.0000  | 0.9951
      32 | 1.0000 | 1.0000  | 1.0000
      33 | 1.0000 | 1.0000  | 1.0000
      34 | 1.0000 | 1.0000  | 1.0000
      35 | 1.0000 | 1.0000  | 0.9857
      36 | 0.0000 | 0.0000  | 0.0000
      37 | 0.9107 | 1.0000  | 0.8914
      38 | 0.9617 | 1.0000  | 0.9550
      39 | 0.5973 | 1.0000  | 0.6637
      40 | 0.9472 | 1.0000  | 0.9542
      41 | 0.8598 | 0.8750  | 0.8548
      42 | 0.9762 | 0.7500  | 0.7525
      43 | 0.9094 | 0.8750  | 0.9385
      44 | 0.7885 | 0.8571  | 0.8080
      45 | 1.0000 | 1.0000  | 0.9953
      46 | 0.7611 | 1.0000  | 0.9002
      47 | 0.9056 | 1.0000  | 0.8744
      48 | 0.8762 | 1.0000  | 0.9601
      49 | 0.7783 | 1.0000  | 0.9053
      50 | 0.8143 | 1.0000  | 0.8127

Overall Averages:
Average MAP@10:     0.7735
Average Recall@10:  0.8130
Average NDCG@10:    0.7752
