Evaluation Metrics for documentsT5:

Per-Query Metrics:
Query ID | MAP@10  | Recall@10 | NDCG@10
---------------------------------------------
       1 | 1.0000 | 1.0000  | 1.0000
       2 | 0.7778 | 1.0000  | 0.9273
       3 | 1.0000 | 1.0000  | 1.0000
       4 | 1.0000 | 0.4000  | 0.5524
       5 | 0.7500 | 1.0000  | 0.8991
       6 | 0.0000 | 0.0000  | 0.0000
       7 | 0.9167 | 1.0000  | 0.9527
       8 | 0.7321 | 1.0000  | 0.8938
       9 | 1.0000 | 1.0000  | 1.0000
      10 | 0.5873 | 1.0000  | 0.8607
      11 | 0.5000 | 1.0000  | 0.6309
      12 | 0.4500 | 0.6667  | 0.4555
      13 | 0.3333 | 1.0000  | 0.5000
      14 | 0.7361 | 0.8000  | 0.8342
      15 | 0.8819 | 1.0000  | 0.9472
      16 | 1.0000 | 0.9091  | 0.9650
      17 | 0.6792 | 1.0000  | 0.7511
      18 | 0.0000 | 0.0000  | 0.0000
      19 | 0.0000 | 0.0000  | 0.0000
      20 | 0.0000 | 0.0000  | 0.0000
      21 | 0.9214 | 1.0000  | 0.9668
      22 | 0.8687 | 0.8750  | 0.8077
      23 | 1.0000 | 0.6667  | 0.7591
      24 | 0.4444 | 1.0000  | 0.5877
      25 | 0.0000 | 0.0000  | 0.0000
      26 | 0.8556 | 1.0000  | 0.9266
      27 | 0.9160 | 1.0000  | 0.9394
      28 | 1.0000 | 1.0000  | 0.9230
      29 | 0.6433 | 0.7143  | 0.5245
      30 | 0.9129 | 0.8750  | 0.8722
      31 | 0.9167 | 1.0000  | 0.9659
      32 | 0.9667 | 1.0000  | 0.9924
      33 | 0.5528 | 1.0000  | 0.7082
      34 | 1.0000 | 1.0000  | 1.0000
      35 | 1.0000 | 0.6667  | 0.8840
      36 | 0.0000 | 0.0000  | 0.0000
      37 | 0.0000 | 0.0000  | 0.0000
      38 | 1.0000 | 1.0000  | 1.0000
      39 | 0.5000 | 1.0000  | 0.6309
      40 | 1.0000 | 1.0000  | 1.0000
      41 | 0.7470 | 0.5714  | 0.6716
      42 | 0.2429 | 0.2222  | 0.1183
      43 | 0.4988 | 0.5714  | 0.5044
      44 | 0.3333 | 0.1429  | 0.1246
      45 | 1.0000 | 0.8571  | 0.9480
      46 | 0.8929 | 1.0000  | 0.9368
      47 | 0.6984 | 0.6000  | 0.6376
      48 | 1.0000 | 0.7500  | 0.8386
      49 | 0.4405 | 0.8000  | 0.5479
      50 | 0.7986 | 0.8000  | 0.8469

Overall Averages:
Average MAP@10:     0.6699
Average Recall@10:  0.7378
Average NDCG@10:    0.6767
